id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,furnishing,chiller_included,parking_spaces,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,contract_type,n_cheques,annual_rent_usd,rent_per_sqft_usd,rent_per_m2_usd
R000001,20-12-24,Town Square,Nshama,25.02906,55.2561,apartment,1BR,1,748,69.5,burj_khalifa,unfurnished,FALSE,1,Centrepoint,Red,373,18.79,yearly,6,13700,18,196
R000002,06-07-21,Expo City,Dubai South,24.96152,55.15759,apartment,1BR,1,1011,93.9,marina,fully_furnished,FALSE,2,Expo 2020,Red,7,28.73,yearly,6,12700,12,135
R000003,10-05-23,Palm Jumeirah,Palm Jumeirah,25.10836,55.13304,apartment,1BR,1,825,76.6,park,fully_furnished,FALSE,2,Mashreq Bank,Red,44,17.32,yearly,1,59900,72,782
R000004,30-12-21,Deira,Deira,25.2872,55.30205,apartment,1BR,1,755,70.1,community,fully_furnished,FALSE,1,Al Jafiliya,Red,62,10.39,yearly,1,9300,12,133
R000005,08-12-23,The Views,The Greens,25.08438,55.18399,apartment,1BR,1,746,69.3,city,semi_furnished,FALSE,1,Dubai Internet City,Red,5,15.5,short_term,12,31300,41,451
R000006,18-02-24,Jumeirah 1,Jumeirah,25.23999,55.26745,apartment,1BR,1,884,82.1,community,fully_furnished,FALSE,1,Etisalat,Green,143,4.81,yearly,1,44000,49,535
R000007,25-04-22,Bluewaters Island,Dubai Marina,25.07955,55.12525,apartment,3BR,3,1572,146,community,fully_furnished,TRUE,1,Union (G),Green,340,19.91,yearly,1,87800,55,601
R000008,09-03-25,Reem Mira,Reem,25.04982,55.28367,villa,4BR_villa,4,5575,517.9,city,fully_furnished,FALSE,4,Discovery Gardens,Red,157,16.41,yearly,6,140700,25,272
R000009,01-07-21,City Walk,Al Wasl,25.20275,55.25313,apartment,3BR,3,1761,163.6,city,unfurnished,TRUE,1,Burj Khalifa/Dubai Mall,Red,18,2.23,yearly,2,71700,40,438
R000010,17-03-21,Jumeirah Bay Island,Jumeirah,25.20633,55.26826,villa,4BR_villa,4,4462,414.6,city,semi_furnished,FALSE,2,Burj Khalifa/Dubai Mall,Red,33,1.19,yearly,4,310400,69,749
R000011,04-06-25,Arabian Ranches 2,Arabian Ranches,25.0498,55.26914,villa,5BR_villa,5,4775,443.6,burj_khalifa,fully_furnished,TRUE,2,Mashreq Bank,Red,145,16.4,yearly,2,267100,55,602
R000012,04-11-24,Mira,Reem,25.03548,55.28718,villa,5BR_villa,5,4478,416,marina,unfurnished,FALSE,2,Noor Bank,Red,131,18.03,yearly,2,98900,22,238
R000013,24-12-22,Arabian Ranches 2,Arabian Ranches,25.06447,55.26784,villa,3BR_villa,3,2279,211.7,pool,fully_furnished,FALSE,4,Mall of the Emirates,Red,124,14.77,yearly,1,76300,33,360
R000014,06-04-24,Jebel Ali,Jebel Ali,25.00181,55.10447,apartment,1BR,1,753,70,marina,unfurnished,FALSE,1,MRT-1,Red,55,27.66,yearly,4,12500,16,178
R000015,27-11-22,The Valley,Dubai-Al Ain Road,24.95174,55.49623,villa,6BR_villa,6,7318,679.8,community,unfurnished,TRUE,2,Sharaf DG,Red,416,35.27,yearly,12,89300,12,131
R000016,02-03-22,Reem Mira,Reem,25.03863,55.28676,villa,4BR_villa,4,3439,319.5,marina,fully_furnished,TRUE,3,Ibn Battuta,Red,185,17.68,short_term,1,96600,28,302
R000017,03-08-22,Dubai Sports City,Dubai Sports City,25.02623,55.20989,apartment,1BR,1,702,65.2,pool,unfurnished,FALSE,1,Ibn Battuta,Red,125,20.09,yearly,2,11700,16,179
R000018,06-02-21,Damac Hills 2,Damac Hills,24.95842,55.29176,villa,3BR_villa,3,1788,166.1,golf_course,semi_furnished,TRUE,3,Max,Red,368,26.61,yearly,4,22400,12,135
R000019,31-07-21,Maritime City,Maritime City,25.26847,55.25222,apartment,1BR,1,817,75.9,burj_khalifa,unfurnished,TRUE,2,Al Ghubaiba,Green,51,8.23,yearly,1,24500,30,322
R000020,27-12-24,Arabian Ranches,Arabian Ranches,25.05886,55.28299,villa,5BR_villa,5,3906,362.9,community,semi_furnished,TRUE,2,Discovery Gardens,Red,155,15.41,yearly,1,163500,41,451
R000021,03-07-22,Sobha Hartland,MBR City,25.17302,55.30469,apartment,2BR,2,1255,116.6,marina,unfurnished,TRUE,1,Union,Red,118,4.06,short_term,4,47100,37,404
R000022,18-08-24,Maritime City,Maritime City,25.257,55.26653,apartment,3BR,3,2056,191,burj_khalifa,unfurnished,TRUE,1,Al Ghubaiba,Green,51,6.7,yearly,2,96400,46,505
R000023,26-04-26,Jumeirah Park,Emirates Living,25.03805,55.15708,villa,3BR_villa,3,2482,230.6,sea,semi_furnished,TRUE,2,Discovery Gardens,Red,36,21.28,yearly,1,130900,52,568
R000024,21-10-24,Jumeirah 2,Jumeirah,25.21473,55.23497,apartment,studio,0,381,35.4,burj_khalifa,unfurnished,FALSE,2,Burj Khalifa/Dubai Mall,Red,49,4.42,short_term,4,20100,52,568
R000025,29-01-22,Bukadra,Bukadra,25.1823,55.32685,apartment,3BR,3,2022,187.9,marina,fully_furnished,FALSE,1,Al Qiyadah (G),Green,150,5.53,yearly,2,45100,22,240
R000026,03-12-23,Arabian Ranches,Arabian Ranches,25.05895,55.26394,villa,5BR_villa,5,4912,456.4,pool,unfurnished,FALSE,2,First Abu Dhabi Bank,Red,125,15.41,yearly,12,210700,42,462
R000027,22-08-24,Reem Mira,Reem,25.03509,55.26492,villa,4BR_villa,4,4706,437.2,community,semi_furnished,TRUE,3,Discovery Gardens,Red,155,18.05,short_term,2,142700,30,326
R000028,30-10-21,Pearl Jumeira,Jumeirah,25.22702,55.25229,apartment,4BR_penthouse,4,3678,341.7,community,fully_furnished,FALSE,1,UAE Exchange,Red,390,3.99,yearly,1,215800,58,632
